Project_ID,Census_Tract_ID
G14-AQIP-01,6037530602
G16-CVRP-01,6001441800
G16-CVRP-01,6001442302
G16-CVRP-01,6085503327
G16-CVRP-01,6037670324
G16-CVRP-01,6073021500
G16-CVRP-01,6037702501
G16-CVRP-01,6045011002
G16-CVRP-01,6037403702
G16-CVRP-01,6041115000
G16-CVRP-01,6037574100
G18-CVRP-01,6097150702
G18-CVRP-01,6097150800
G18-CVRP-01,6097150901
G18-CVRP-01,6097150902
G18-CVRP-01,6097151000
G18-CVRP-01,6097151100
G18-CVRP-01,6097151201
G18-CVRP-01,6097151203
G18-CVRP-01,6097151204
G18-CVRP-01,6097151301
G15-LCTI-01,6047000201
G15-LCTI-01,6045011800
G15-LCTI-01,6045011700
G15-LCTI-01,6045011600
G15-LCTI-01,6045011500
G15-LCTI-01,6045011400
G15-LCTI-01,6045011300
G15-LCTI-01,6045011200
G15-LCTI-01,6045011102
G15-LCTI-01,6045011002
G16-CVRP-01,6037461502
G16-CVRP-01,6037601402
G16-CVRP-01,6001451401
G16-CVRP-01,6077003312
G16-CVRP-01,6073016606
G16-CVRP-01,6013308001
G16-CVRP-01,6089010300
G16-CVRP-01,6059087805
G16-CVRP-01,6019002702
G16-CVRP-01,6059087803
G14-AQIP-01,6053010608
G15-LCTI-01,6001404400
G16-CVRP-01,6071002037
G16-CVRP-01,6073017502
G16-CVRP-01,6019004302
G16-CVRP-01,6085507205
G16-CVRP-01,6073016902
G16-CVRP-01,6085505500
G16-CVRP-01,6073015000
G16-CVRP-01,6061020606
G16-CVRP-01,6045011800
G16-CVRP-01,6037209200
4600011115,6085512308
16-1-03,6019000300
16-1-03,6019000502
15-1-11,6037571701
15-1-11,6037571703
16-1-03,6019001000
15-1-11,6037572201
15-1-11,6037572301
G16-CVRP-01,6075016700
G16-CVRP-01,6073008902
G16-CVRP-01,6037197410
G16-CVRP-01,6037301702
G16-CVRP-01,6037920114
G16-CVRP-01,6059032057
G16-CVRP-01,6073020705
G16-CVRP-01,6037262302
G16-CVRP-01,6095253205
G16-CVRP-01,6065040821
G18-HVIP-01,6037980025
G18-HVIP-01,6037980025
15-1-11,6037572900
G18-HVIP-01,6037980025
G18-HVIP-01,6037980025
G18-HVIP-01,6037206020
15-1-11,6037573002
G18-HVIP-01,6037980025
G18-HVIP-01,6037980025
G18-HVIP-01,6037980025
G18-HVIP-01,6037980025
G15-LCTI-01,6081608200
G15-LCTI-01,6081608100
G15-LCTI-01,6081608400
G15-LCTI-01,6081608300
G15-LCTI-01,6081608004
