Tract,Disadvantaged Communities,Low-Income Communities,County name
6001400100,No,No,Fresno 
6001400200,No,No,Fresno 
6001400300,No,No,San Bernardino
6001400400,No,No,Fresno 
6001400500,No,No,San Joaquin
6001400600,No,No,Fresno 
6001400700,No,Yes,Los Angeles
6001400800,No,Yes,San Joaquin
6001400900,No,Yes,Fresno 
6001401000,Yes,Yes,Los Angeles
6001401100,No,Yes,Fresno 
6001401200,No,No,Stanislaus 
6001401300,No,Yes,Kern 
6001401400,Yes,Yes,Fresno 
6001401500,Yes,Yes,Fresno 
6001401600,Yes,Yes,Los Angeles
6001401700,Yes,No,Fresno 
6001401800,Yes,Yes,Los Angeles
6001402200,Yes,Yes,Fresno 
6001402400,Yes,Yes,Fresno 
6001402500,Yes,Yes,Fresno 
6001402600,No,Yes,Los Angeles
6001402700,Yes,Yes,Los Angeles
6001402800,No,Yes,San Joaquin
6001402900,No,Yes,Fresno 
6001403000,Yes,Yes,San Joaquin
6001403100,No,Yes,Stanislaus 
6001403300,Yes,Yes,San Bernardino
6001403400,No,Yes,Los Angeles
6001403501,No,Yes,Fresno 
6001403502,No,No,Riverside 
6001403600,No,No,Fresno 
6001403701,No,No,Los Angeles
6001403702,No,No,Los Angeles
6001403800,No,No,San Bernardino
6001403900,No,No,Los Angeles
6001404000,No,No,Los Angeles
6001404101,No,No,Stanislaus 
6001404102,No,No,Fresno 
6001404200,No,No,San Joaquin
6001404300,No,No,Los Angeles
6001404400,No,No,Los Angeles
6001404501,No,No,Los Angeles
6001404502,No,No,Fresno 
6001404600,No,No,San Joaquin
6001404700,No,No,Los Angeles
6001404800,No,Yes,Los Angeles
6001404900,No,No,San Diego
6001405000,No,No,Los Angeles
6001405100,No,No,Los Angeles
6001405200,No,No,Los Angeles
6001405301,No,Yes,Riverside 
6001405302,No,Yes,San Bernardino
6001405401,Yes,Yes,Los Angeles
6001405402,No,Yes,Fresno 
6001405500,No,Yes,Fresno 
6001405600,No,Yes,Los Angeles
6001405700,No,Yes,Fresno 
6001405800,No,Yes,San Joaquin
6001405901,No,Yes,Los Angeles
6001405902,No,Yes,Fresno 
6001406000,Yes,Yes,Kern 
6001406100,Yes,Yes,Los Angeles
6001406201,Yes,Yes,Los Angeles
6001406202,No,Yes,Los Angeles
6001406300,No,Yes,Los Angeles
6001406400,No,Yes,Los Angeles
6001406500,No,Yes,Los Angeles
6001406601,No,Yes,Riverside 
6001406602,No,Yes,Kern 
