CARB ID,Project ID,Project Type,Date,Credits, Project Name,Project Operator,State
CAFR5011-A,CAR993,Forest,2013,836619,Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project,Yurok Tribe,CA
CAFR5011-B,CAR993,Forest,2014,19520,Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project,Yurok Tribe,CA
CAFR5011-C,CAR993,Forest,2015,19520,Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project,Yurok Tribe,CA
CAFR5011-D,CAR993,Forest,2016,107992,Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project,Yurok Tribe,CA
CAFR5012-A,ACR182,Forest,2013,107214,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.",CA
CAFR5012-B,ACR182,Forest,2014,10051,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.",CA
CAFR5012-C,ACR182,Forest,2015,10051,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.",CA
CAFR5016-A,ACR189,Forest,2013,271144,Miller Forest,Edward Miller Trust,CA
CAFR5016-B,ACR189,Forest,2014,7185,Miller Forest,Edward Miller Trust,CA
CAFR5016-C,ACR189,Forest,2015,7316,Miller Forest,Edward Miller Trust,CA
CAFR5016-D,ACR189,Forest,2016,7574,Miller Forest,Edward Miller Trust,CA
CAFR5016-E,ACR189,Forest,2017,7774,Miller Forest,Edward Miller Trust,CA
CAFR5028-A,ACR173,Forest,2013,540828,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,CA
CAFR5028-B,ACR173,Forest,2014,8356,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,CA
CAFR5028-C,ACR173,Forest,2015,45066,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,CA
CAFR5028-D,ACR173,Forest,2016,3407,Round Valley Indian Tribes Improved Forest Management Project,Round Valley Indian Tribes,CA
CAFR5038-A,CAR1041,Forest,2015,662284,Sacramento Canyon ARB001,Sierra Pacific Industries,CA
CAFR5055-A,CAR1013,Forest,2014,330236,Buckeye Forest Project,"Sustainable Conservation, Inc.",CA
CAFR5055-B,CAR1013,Forest,2015,118295,Buckeye Forest Project,"Sustainable Conservation, Inc.",CA
CAFR5055-C,CAR1013,Forest,2016,98559,Buckeye Forest Project,"Sustainable Conservation, Inc.",CA
CAFR5055-D,CAR1013,Forest,2017,71851,Buckeye Forest Project,"Sustainable Conservation, Inc.",CA
CAFR5055-E,CAR1013,Forest,2018,118619,Buckeye Forest Project,"Sustainable Conservation, Inc.",CA
CAFR5058-A,CAR1066,Forest,2015,302354,Buck Mountain ARB002,Sierra Pacific Industries,CA
CAFR5063-A,CAR1067,Forest,2014,4343,Finite Carbon – Berry Summit IFM,"Berry Summit, LLC",CA
CALS5071-A,CAR1065,Livestock,2015,4978,ABEC New Hope LLC,"California Bioenergy, LLC",CA
CAFR5076-A,CAR1046,Forest,2014,847895,Trinity Timberlands University Hill Improved Forest Management Project,"Trinity Timberlands, LLC",CA
CAFR5090-A,CAR1070,Forest,2016,548363,Phase 1 Sustainable Forest Project,Yurok Tribe,CA
CAFR5090-B,CAR1070,Forest,2017,59541,Phase 1 Sustainable Forest Project,Yurok Tribe,CA
CAFR5090-C,CAR1070,Forest,2018,102530,Phase 1 Sustainable Forest Project,Yurok Tribe,CA
CAFR5096-A,CAR1095,Forest,2014,1367613,Brushy Mountain,"Coastal Forestlands, Ltd., a California Limited Partnership",CA
CAFR5096-B,CAR1095,Forest,2015,179963,Brushy Mountain,"Coastal Forestlands, Ltd., a California Limited Partnership",CA
CAFR5096-C,CAR1095,Forest,2016,101148,Brushy Mountain,"Coastal Forestlands, Ltd., a California Limited Partnership",CA
CAFR5096-D,CAR1095,Forest,2017,74335,Brushy Mountain,"Coastal Forestlands, Ltd., a California Limited Partnership",CA
CAFR5096-E,CAR1095,Forest,2018,82078,Brushy Mountain,"Coastal Forestlands, Ltd., a California Limited Partnership",CA
CAFR5106-A,CAR1100,Forest,2016,91213,Big River / Salmon Creek Forests - ARB,The Conservation Fund,CA
CAFR5106-B,CAR1100,Forest,2017,71758,Big River / Salmon Creek Forests - ARB,The Conservation Fund,CA
CAFR5106-C,CAR1100,Forest,2018,81755,Big River / Salmon Creek Forests - ARB,The Conservation Fund,CA
CALS5131-A,CAR1108,Livestock,2015,31704,Pacific Rim Dairy Digester,"Pacific Rim Energy, LLC",CA
CALS5131-B,CAR1108,Livestock,2016,32279,Pacific Rim Dairy Digester,"Pacific Rim Energy, LLC",CA
CALS5131-C,CAR1108,Livestock,2017,5309,Pacific Rim Dairy Digester,"Pacific Rim Energy, LLC",CA
CALS5131-D,CAR1108,Livestock,2018,19362,Pacific Rim Dairy Digester,"Pacific Rim Energy, LLC",CA
CAFR5137-A,CAR1099,Forest,2016,110950,Gualala River Forest – ARB,The Conservation Fund,CA
CAFR5137-B,CAR1099,Forest,2017,84934,Gualala River Forest – ARB,The Conservation Fund,CA
CAFR5137-C,CAR1099,Forest,2018,96129,Gualala River Forest – ARB,The Conservation Fund,CA
CAFR5141-A,CAR1098,Forest,2016,102161,Garcia River Forest - ARB,The Conservation Fund,CA
CAFR5141-B,CAR1098,Forest,2017,156978,Garcia River Forest - ARB,The Conservation Fund,CA
CAFR5141-C,CAR1098,Forest,2018,173726,Garcia River Forest - ARB,The Conservation Fund,CA
CAFR5141-D,CAR1098,Forest,2019,136771,Garcia River Forest - ARB,The Conservation Fund,CA
CALS5142-A,CAR1142,Livestock,2015,7922,Fiscalini Farms Anaerobic Digester,"Fiscalini Properties, L.P.",CA
CALS5142-B,CAR1142,Livestock,2017,3175,Fiscalini Farms Anaerobic Digester,"Fiscalini Properties, L.P.",CA
CAFR5148-A,CAR1102,Forest,2016,215440,Montesol – Forest Carbon Partners Improved Forest Management Project,"Montesol, LLC",CA
CAFR5149-A,CAR1103,Forest,2015,270943,Forest Carbon Partners – Glass Ranch Improved Forest Management Project,Ronald Glass,CA
CAFR5150-A,CAR1104,Forest,2015,287077,Forest Carbon Partners – Gabrych Ranch Improved Forest Management Project,GM Gabrych Family Limited Partnership,CA
CALS5151-A,CAR1151,Livestock,2015,40236,Cottonwood Dairy Livestock Gas Capture Project,"Gallo Cattle Company, A Limited Partnership",CA
CALS5151-B,CAR1151,Livestock,2016,10438,Cottonwood Dairy Livestock Gas Capture Project,"Gallo Cattle Company, A Limited Partnership",CA
CALS5151-C,CAR1151,Livestock,2017,7893,Cottonwood Dairy Livestock Gas Capture Project,"Gallo Cattle Company, A Limited Partnership",CA
CAFR5170-A,CAR1140,Forest,2015,217488,Willits Woods IFM,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR5170-B,CAR1140,Forest,2016,188563,Willits Woods IFM,"Coastal Ridges LLC, a California Limited Liability Company",CA
CAFR5171-A,CAR1141,Forest,2016,10433,Van Eck Forest,Fred M. van Eck Forest Foundation for Purdue University,CA
CALS5183-A,CAR1136,Livestock,2017,74174,CalBio ORRD Project,"ABEC Bidart-Old River, LLC",CA
CALS5183-B,CAR1136,Livestock,2018,45371,CalBio ORRD Project,"ABEC Bidart-Old River, LLC",CA
CALS5197-A,CAR1177,Livestock,2015,8213,"Pixley Biogas, LLC","Pixley Biogas, LLC",CA
CALS5197-B,CAR1177,Livestock,2016,10505,"Pixley Biogas, LLC","Pixley Biogas, LLC",CA
CALS5197-C,CAR1177,Livestock,2017,3657,"Pixley Biogas, LLC","Pixley Biogas, LLC",CA
CAFR5200-A,ACR200,Forest,2015,65806,Brush Creek,Edward Miller Trust,CA
CAFR5200-B,ACR200,Forest,2016,11114,Brush Creek,Edward Miller Trust,CA
CAFR5200-C,ACR200,Forest,2017,11678,Brush Creek,Edward Miller Trust,CA
CAFR5212-A,ACR262,Forest,2015,676069,Bewley Ranches,Ross Bewley,CA
CAFR5212-B,ACR262,Forest,2016,72604,Bewley Ranches,Ross Bewley,CA
CAFR5212-C,ACR262,Forest,2017,71727,Bewley Ranches,Ross Bewley,CA
CAFR5212-D,ACR262,Forest,2018,66267,Bewley Ranches,Ross Bewley,CA
CAFR5220-A,CAR1190,Forest,2017,331816,Greenwood Creek,"Mendocino Redwood Company, LLC",CA
CAFR5224-A,CAR1174,Forest,2017,274971,Forest Carbon Partners – Eddie Ranch Improved Forest Management Project,"Eddie Ranch Properties, LLC",CA
CAFR5232-A,ACR282,Forest,2016,540599,Blue Creek,Western Rivers Forestry,CA
CAFR5232-B,ACR282,Forest,2017,227161,Blue Creek,Western Rivers Forestry,CA
CAFR5232-C,ACR282,Forest,2018,87330,Blue Creek,Western Rivers Forestry,CA
CAFR5242-A,ACR292,Forest,2016,117216,Congaree River,"Congaree River, LLC, an Illinois LLC",CA
CALS5245-A,CAR1178,Livestock,2016,18782,Open Sky Ranch Dairy Digester,"Open Sky Ranch, Inc.",CA
CALS5245-B,CAR1178,Livestock,2017,22684,Open Sky Ranch Dairy Digester,"Open Sky Ranch, Inc.",CA
CALS5245-C,CAR1178,Livestock,2018,21275,Open Sky Ranch Dairy Digester,"Open Sky Ranch, Inc.",CA
CAFR5280-A,CAR1180,Forest,2016,927027,Mailliard Ranch,"Mailliard Ranch, a California Limited Partnership",CA
CAFR5280-B,CAR1180,Forest,2017,48418,Mailliard Ranch,"Mailliard Ranch, a California Limited Partnership",CA
CAFR5280-C,CAR1180,Forest,2018,50064,Mailliard Ranch,"Mailliard Ranch, a California Limited Partnership",CA
CAFR5281-A,CAR1139,Forest,2015,307560,Usal Redwood Forest - IFM,"Usal Redwood Forest Company, LLC",CA
CAFR5281-C,CAR1139,Forest,2016,310596,Usal Redwood Forest - IFM,"Usal Redwood Forest Company, LLC",CA
CAFR5281-B,CAR1139,Forest,2017,292165,Usal Redwood Forest - IFM,"Usal Redwood Forest Company, LLC",CA
CAFR5281-D,CAR1139,Forest,2018,251056,Usal Redwood Forest - IFM,"Usal Redwood Forest Company, LLC",CA
CAFR5291-A,CAR1191,Forest,2016,817984,Hollow Tree,"Mendocino Redwood Company, LLC",CA
CAFR5291-B,CAR1191,Forest,2017,99720,Hollow Tree,"Mendocino Redwood Company, LLC",CA
CAFR5291-C,CAR1191,Forest,2018,67448,Hollow Tree,"Mendocino Redwood Company, LLC",CA
CALS5345-A,CAR1245,Livestock,2017,5572,Van Steyn Dairy Digester,"Maas Energy Works, Inc.",CA
CALS5365-A,CAR1265,Livestock,2017,49518,Verwey Hanford Dairy Digester,Philip Verwey Farms,CA
CALS5365-B,CAR1265,Livestock,2018,40057,Verwey Hanford Dairy Digester,Philip Verwey Farms,CA
CAFR5377-A,ACR377,Forest,2017,367438,Cappell Creek Improved Forest Management Project,"California Timberlands 2, LLC",CA
CAFR5378-A,ACR378,Forest,2017,353052,Lord Ellis Improved Forest Management Project,"California Timberlands 2, LLC",CA
CALS5388-A,CAR1288,Livestock,2018,27942,GJ TeVelde Ranch Dairy Digester,"GJ TeVelde Ranch Energy, LLC",CA
CALS5388-B,CAR1288,Livestock,2019,21734,GJ TeVelde Ranch Dairy Digester,"GJ TeVelde Ranch Energy, LLC",CA
CALS6315-A,CAR1315,Livestock,2019,25185,West Star North Dairy,"ABEC #2, LLC",CA
CALS6316-A,CAR1316,Livestock,2019,17312,Lakeview Farms Dairy,"ABEC #3, LLC",CA
CALS6317-A,CAR1317,Livestock,2019,28166,CE&S Dairy,"ABEC #4, LLC",CA
CAFR0001-A,CAR661,Forest,2004,9602,Willits Woods,"Coastal Ridges LLC, a California Limited Liability Company",CA
