Total Population,Poverty,Census Tract
3996,907,6047000802
3247,711,6047000901
9706,2476,6047000902
5396,1118,6047001200
4448,1593,6047001401
2483,1135,6047001502
4683,1430,6047002100
7695,2982,6047001602
2277,684,6047001902
6637,820,6047002301
15366,4060,6047002302
5278,1703,6047001901
2766,1635,6047001302
9769,2540,6047000304
4810,1525,6047000601
4269,1986,6047001003
5000,1674,6047001402
6907,2988,6047001700
3024,379,6047001801
8744,2517,6047002000
3919,1421,6047000602
5822,2130,6047000603
2337,897,6047001005
2583,932,6047001301
2573,447,6047001501
2370,174,6017031405
5674,678,6017031504
5270,297,6017030601
4754,396,6017030902
4858,1628,6017031302
4948,846,6017030200
6275,449,6017030701
3261,175,6017030901
6010,996,6017031402
5772,1025,6017031000
2580,283,6055200202
4125,352,6055200400
119,89,6055200900
5039,1009,6067006101
3337,1160,6067006102
4473,2137,6067006900
2445,497,6067008137
5908,372,6067008210
3377,911,6067008404
2691,27,6067008702
4673,586,6067008905
4848,1043,6067008908
3789,797,6067008910
3770,275,6067000200
3851,655,6067000400
6080,1798,6067004202
5590,2403,6067004203
9105,2968,6067004300
3642,893,6067005202
5883,2500,6067005505
7222,272,6073008324
2053,892,6073008339
7037,416,6073008347
9862,835,6073008354
6566,1498,6073008505
7355,1046,6073017604
3275,808,6073018400
5567,526,6037543321
4378,1109,6037543502
7397,1061,6037550100
8128,358,6037550500
7283,210,6037551000
3732,1010,6037603102
3647,566,6037603301
3861,1080,6037603302
4842,229,6037603702
3555,431,6037620102
4092,255,6037620521
5165,215,6037620602
2478,210,6037650701
6032,451,6037651302
3986,501,6037670002
2556,90,6037670202
5640,199,6037800101
2944,145,6037920111
5132,1265,6037531000
3703,471,6037530004
2099,529,6037530301
3471,726,6037530901
2822,932,6037532001
4367,1311,6037532500
2811,785,6037533403
3129,913,6037533501
4750,1640,6037533601
4789,1674,6037534803
3756,1245,6037535603
7233,1008,6037535902
6818,1414,6037540102
6286,2357,6037540502
5313,545,6037540800
5715,1562,6037541300
7587,3008,6037541400
6845,247,6085508101
4863,611,6085509202
3517,250,6085509304
3841,349,6085509401
5535,280,6085509801
6997,441,6085512307
8368,1497,6085503204
4357,474,6085503210
4790,495,6085503401
2451,346,6085503507
5038,525,6085512019
7689,1197,6085512020
5045,466,6085512024
4966,471,6085512402
4176,1142,6089010400
3099,447,6089011100
5932,2157,6089012200
4812,958,6089012601
2690,514,6089012702
5372,1428,6089010500
3826,1074,6089011600
4356,628,6089011900
2649,856,6089012301
5361,512,6089012302
4079,1430,6089010900
3887,442,6089012303
3800,754,6089012400
4840,1275,6089011300
1578,492,6089012500
4665,1502,6089012000
4858,1461,6089012701
3580,861,6089010702
2458,907,6089010200
5592,826,6089011500
2150,398,6095250501
5501,1148,6095250601
2446,810,6095251802
6368,756,6095252705
3115,271,6095252108
3685,362,6095253106
3651,349,6059062640
8856,627,6059062644
867,20,6059063008
2709,292,6059063103
