Total population,White alone,Black alone,American Indian alone,Asian alone,Hawaiian alone,Hispanic,Other alone,Two or more,Census Tract,Poverty
3996,1609,50,0,231,0,2082,0,24,6047000802,907
3836,1402,97,9,34,0,2220,8,66,6047000901,711
2493,158,18,39,124,0,2154,0,0,6047001502,2476
9811,3752,87,16,1358,15,4172,0,411,6047000902,1118
5431,2187,137,8,358,0,2388,18,335,6047001200,1593
4503,1586,60,16,250,0,2415,73,103,6047001401,1135
4741,1091,25,106,124,14,3202,0,179,6047002100,1430
7757,590,412,0,2321,19,4336,0,79,6047001602,2982
2277,530,29,0,38,0,1668,0,12,6047001902,684
6701,2887,282,0,267,0,3240,0,25,6047002301,820
15488,2669,138,50,552,266,11445,0,368,6047002302,4060
5298,478,46,56,12,11,4688,0,7,6047001901,1703
2895,974,96,7,89,0,1679,0,50,6047001302,1635
9911,664,20,0,1972,0,7173,0,82,6047000304,2540
4820,1375,156,27,77,0,3056,7,122,6047000601,1525
4269,951,486,19,273,0,2288,50,202,6047001003,1986
5017,1928,173,8,737,0,2142,8,21,6047001402,1674
6907,1436,341,0,687,0,4221,53,169,6047001700,2988
5432,2153,118,21,905,17,2091,9,118,6047001801,379
8761,3239,21,27,21,0,5438,0,15,6047002000,2517
3956,1437,78,0,34,23,2269,0,115,6047000602,1421
5868,1955,254,9,156,0,3420,0,74,6047000603,2130
2367,403,326,0,163,4,1398,0,73,6047001005,897
2765,1017,130,0,81,0,1493,0,44,6047001301,932
2585,612,27,0,313,0,1615,0,18,6047001501,447
2396,2073,5,57,58,0,123,0,80,6017031405,174
5678,4562,12,0,114,0,962,0,28,6017031504,678
5270,4783,0,13,36,0,207,0,231,6017030601,297
4781,3989,20,82,61,0,419,10,200,6017030902,396
4858,4240,5,0,43,0,543,0,27,6017031302,1628
5146,2754,32,50,292,13,1961,0,44,6017030200,846
6275,5295,0,93,373,0,370,17,127,6017030701,449
3261,2700,2,75,138,0,285,0,61,6017030901,175
6067,5045,0,34,75,0,575,0,338,6017031402,996
5908,4507,0,62,264,0,890,0,185,6017031000,1025
2772,1388,94,0,44,18,1153,0,75,6055200202,283
4127,2874,24,0,87,0,982,0,160,6055200400,352
722,396,159,0,41,27,99,0,0,6055200900,89
5070,3335,332,0,154,0,725,0,524,6067006101,1009
3338,1900,379,0,214,0,698,32,115,6067006102,1160
4626,1591,653,0,421,13,1737,0,211,6067006900,2137
2450,2123,75,0,25,0,197,0,30,6067008137,497
5908,4764,127,0,294,0,496,0,227,6067008210,372
3471,2451,9,8,233,0,601,0,169,6067008404,911
2691,2230,18,0,313,0,75,0,55,6067008702,27
4679,2781,214,12,194,0,1189,29,260,6067008905,586
